분류,2010,2011,2012,2013,2014,2015,2016,2017,2018
총배출량,656322.62,684929.54,688308.06,697383.69,691932.56,692514.57,693534.82,709749.97,727633.3
순배출량,602476.62,632323.87,641310.68,654848.71,648650.44,648153.41,647975.18,668261.96,686348.19
