온실가스배출량,성별,나이,OTT이용여부,OTT서비스1순위,OTT서비스2순위,OTT서비스3순위,OTT컨텐츠1순위,OTT컨텐츠2순위,OTT컨텐츠3순위,OTT매체1순위,OTT매체2순위,OTT매체3순위,이용빈도,1회이용시간,OTT서비스결제유형,최근3개월유료결제이용여부,스마트폰데이터무제한요금제가입여부,타블렛PC보유여부
0.044355045,2,40,1,10, , ,6, , ,1,5, ,4,35,1,2,2,2
0.031682175,2,57,1,10, , ,6,7, ,1, , ,5,25,1,2,2,2
0.10138296,1,58,1,10, , ,6,1,5,1, , ,4,80,1,2,2,2
0.07603722,2,55,1,8,10, ,1,4,5,1,5, ,4,60,3,1,2,2
0.11405583,1,27,1,10,8, ,1,4,6,1, , ,1,90,1,2,2,2
0.03801861,1,54,1,2,10, ,1,5,6,1,3, ,3,30,3,1,2,2
0.03801861,2,52,1,10, , ,1,6,5,1, , ,4,30,1,2,2,1
0.11405583,1,54,1,1,8,10,6,5,7,1,5, ,2,90,3,1,1,2
0.07603722,2,51,1,8,10, ,1,5,6,1,5, ,4,60,3,1,1,2
0.06336435,1,61,1,10, , ,6,7, ,1, , ,2,50,1,2,2,2
0.03801861,2,54,1,10,8, ,1,5, ,1,5, ,2,30,3,1,2,2
0.07603722,2,37,1,8,10, ,1,4,5,1,5, ,4,60,3,1,2,2
0.03801861,1,12,1,10, , ,6,5, ,1, , ,3,30,1,2,2,1
0.07603722,1,59,1,10, , ,6,1,7,1, , ,4,60,1,2,2,2
0.07603722,2,55,1,10, , ,6,7,1,1, , ,4,60,1,2,2,2
0.07603722,1,56,1,10,1, ,1,2,4,1,5, ,3,60,3,1,2,2
0.11405583,2,52,1,10,1, ,6,1,4,1,5, ,3,90,3,1,2,2
0.03801861,2,57,1,10, , ,6,7,1,1, , ,1,30,1,2,2,2
0.07603722,2,27,1,10, , ,6,1,7,1, , ,2,60,1,2,1,2
0.02534574,2,55,1,10, , ,6,1,7,1, , ,1,20,1,2,2,2
0.06758864,1,30,1,8,10, ,1,4,6,3,1, ,4,20,3,1,1,2
0.03801861,1,50,1,10, , ,1, , ,1, , ,5,30,1,2,1,2
0.02534574,2,47,1,10, , ,1, , ,1, , ,4,20,1,2,1,2
0.07603722,1,18,1,10, , ,1, , ,1,3, ,2,60,1,2,1,2
0.03801861,2,15,1,10, , ,1, , ,1, , ,1,30,1,1,1,2
0.03801861,1,50,1,10, , ,1,7,4,1,4, ,4,30,1,2,1,2
0.03801861,2,48,1,10, , ,1,6,3,1, , ,4,30,1,2,1,2
0.05069148,2,21,1,8,9, ,1,2,4,1,4, ,4,40,3,1,1,2
0.05069148,2,16,1,10, , ,1,4,7,1,3, ,3,40,1,2,1,2
0.03801861,1,58,1,10, , ,1, , ,1, , ,6,30,1,2,2,2
0.03801861,2,53,1,10, , ,1, , ,1, , ,2,30,1,2,2,2
0.07603722,2,22,1,8,10, ,1,2, ,1,2, ,1,60,1,2,1,2
0.07603722,1,17,1,10, , ,1, , ,1,4, ,1,60,1,2,1,2
0.02534574,1,57,1,10, , ,1,6, ,1, , ,4,20,1,2,1,2
0.02534574,2,54,1,10, , ,1, , ,1, , ,3,20,1,2,1,1
0.02534574,1,29,1,10, , ,1,6, ,1,4, ,4,20,1,2,1,2
0.02534574,1,26,1,10, , ,1, , ,1,4, ,1,20,1,2,1,2
0.01267287,1,69,1,10, , ,6,7, ,1, , ,5,10,1,2,1,2
0.01267287,2,62,1,10, , ,6, , ,1, , ,5,10,1,2,1,2
0.07603722,1,56,1,10, , ,6,1,7,1, , ,4,60,1,2,2,2
0.07603722,2,52,1,10, , ,4,1,6,1, , ,4,60,1,2,2,2
0.03801861,2,29,1,10, , ,6,7,1,1, , ,1,30,1,2,1,2
0.11405583,2,45,1,8,10, ,1,4,7,1,5, ,2,90,3,1,2,2
0.07603722,1,14,1,8,10, ,1,6,5,1,5, ,4,60,3,1,2,2
0.30414888,2,12,1,8,10, ,5,6,7,5,1, ,4,60,3,1,2,2
0.07603722,1,60,1,10, , ,5,6,7,1, , ,2,60,1,2,2,1
0.03801861,2,60,1,10, , ,1,5,6,1, , ,1,30,1,2,2,1
0.07603722,2,38,1,10,8, ,5,6,1,1,5, ,3,60,1,1,2,1
0.07603722,1,40,1,10,8, ,5,1,6,1,5, ,3,60,1,1,2,1
0.03801861,1,43,1,10, , ,6,1, ,1, , ,1,30,1,2,2,2
0.07603722,1,43,1,10, , ,5,6,4,1, , ,2,60,1,2,2,2
0.07603722,2,42,1,10, , ,5,6,1,1, , ,3,60,1,2,1,2
0.07603722,2,45,1,8,10, ,5,6,1,1,4,5,4,60,1,1,1,2
0.07603722,2,11,1,8,10, ,5,6,1,1,5,4,2,60,1,1,2,2
0.11405583,1,54,1,10, , ,5,6,1,1, , ,3,90,1,2,2,2
0.03801861,1,72,1,10, , ,5,6,1,1, , ,3,30,1,2,2,2
0.03801861,2,65,1,10, , ,1,6,7,1, , ,1,30,1,2,2,2
0.03801861,1,51,1,10,1, ,5,6,1,1, , ,1,30,3,1,2,2
0.07603722,2,51,1,10, , ,5,6,1,1, , ,4,60,1,2,2,2
0.07603722,1,25,1,10,8, ,5,6,1,1,3,5,2,60,3,1,2,2
0.01267287,1,54,1,10, , ,6,7,3,1, , ,5,10,1,1,1,2
0.01267287,2,52,1,10, , ,1,6,7,1, , ,5,10,1,2,1,2
0.01267287,1,49,1,10, , ,6,7, ,1, , ,5,10,1,2,2,1
0.01267287,2,46,1,10, , ,6,7, ,1, , ,4,10,1,2,2,2
0.03801861,2,71,1,9,10, ,3,6, ,1, , ,4,30,1,2,1,1
0.03801861,1,48,1,2,8,11,2,3,6,1,2,4,4,30,1,2,1,1
0.03801861,2,48,1,5,10,9,3,6,7,1, , ,4,30,1,2,1,1
0.06336435,1,50,1,8,9, ,1,2,4,1,2, ,5,50,1,2,1,1
0.05069148,1,64,1,9,1,3,3,7,4,1,5,4,4,40,1,2,1,1
0.10138296,2,59,1,1,8,10,1,3,7,1,2, ,5,80,1,2, ,1
0.03801861,1,54,1,9,8,10,3,7,4,1,3, ,5,30,1,2,1,1
0.03801861,2,49,1,9,5,8,4,6,3,1, , ,5,30,1,2,1,1
0.19009305,2,22,1,10,7, ,1,4,3,1,2,3,1,150,1,2,1,1
0.07603722,1,50,1,8,9, ,1,3, ,1,2, ,5,60,1,2,1,1
0.11405583,2,47,1,9,8, ,1,3, ,1, , ,3,90,1,2,1,1
0.03801861,1,51,1,1,8, ,3,1, ,1, , ,5,30,1,2,1,2
0.06336435,2,52,1,8,9, ,3,4,7,1,5, ,5,50,1,2,1,2
0.03801861,1,51,1,2,9, ,3,6, ,1,5, ,2,30,1,2,2,2
0.10138296,1,19,1,2,9,6,5,3,6,1,3,5,4,80,1,2,2,2
0.05069148,1,49,1,1,9,10,4,2,3,1,4, ,5,40,1,2,1,2
0.03801861,2,50,1,8,9, ,1,2,7,1, , ,5,30,1,2,1,2
0.03801861,2,42,1,10, , ,1,6,5,1, , ,4,30,1,2,2,1
0.05069148,1,17,1,10, , ,6,5, ,1, , ,3,40,1,2,2,1
0.30414888,2,10,1,10, , ,6,4, ,5,2, ,3,60,1,2,2,1
0.03801861,1,59,1,10, , ,6, , ,1, , ,1,30,1,2,2,2
0.01267287,1,60,1,10, , ,6,5, ,1, , ,4,10,1,2,1,2
0.01267287,2,57,1,10, , ,6,7, ,1, , ,5,10,1,2,2,2
0.019009305,1,29,1,10,9,1,1,5,6,1, , ,4,15,1,2,2,2
0.019009305,2,82,1,10, , ,1,2, ,1, , ,6,15,1,2,2,2
0.01267287,1,64,1,10, , ,1,6, ,1, , ,4,10,1,2,2,2
0.019009305,2,61,1,10, , ,6,7, ,1, , ,5,15,1,2,2,2
0.01267287,1,58,1,8,1, ,1,2, ,1, , ,4,10,1,2,1,2
0.01267287,2,57,1,10, , ,6,7, ,1, , ,4,10,1,2,2,2
0.01267287,1,58,1,10, , ,6, , ,1, , ,4,10,1,2,1,2
0.01267287,2,51,1,8,10,1,6,5,1,1, , ,4,10,1,2,1,2
0.01267287,1,56,1,10, , ,2,3, ,1, , ,5,10,1,2,1,2
0.01267287,2,56,1,10, , ,4,5,6,1, , ,5,10,1,2,2,2
0.01267287,1,30,1,10,2,8,3,5,6,1,2,4,4,10,1,1,1,2
0.01267287,1,62,1,10, , ,6, , ,1, , ,5,10,1,2,1,2
0.01267287,2,57,1,10, , ,5, , ,1, , ,4,10,1,2,2,2
0.01267287,1,30,1,10,8,1,5,6,2,1,4, ,4,10,1,2,1,1
0.01267287,2,43,1,10,8, ,2,5,6,1, , ,4,10,1,1,1,2
0.01267287,1,44,1,10, , ,2,3, ,1, , ,4,10,1,2,2,2
0.01267287,1,65,1,10, , ,5,6, ,1, , ,5,10,1,2,1,2
0.019009305,2,63,1,10, , ,6, , ,1, , ,4,15,1,2,1,2
0.01267287,1,35,1,10, , ,6,7, ,1, , ,4,10,1,2,1,2
0.01267287,2,30,1,10, , ,4,5, ,1, , ,4,10,1,2,2,2
0.01267287,2,58,1,10, , ,6,5, ,1, , ,4,10,1,2,1,2
0.11405583,1,39,1,10, , ,6,4,7,1, , ,1,90,1,2,2,2
0.03801861,2,45,1,10, , ,6,7,1,1,3, ,2,30,1,2,2,2
0.01267287,1,16,1,1,10,9,1,5,6,1,3, ,1,10,1,2,2,2
0.019009305,1,66,1,10, , ,5,1, ,1, , ,1,15,1,2,2,2
0.03801861,2,63,1,10, , ,5,1, ,1, , ,1,30,1,2,2,2
0.07603722,1,40,1,10,1,9,6,7,1,1,3, ,2,60,1,2,1,2
0.02534574,2,70,1,10, , ,6,7,1,1, , ,1,20,1,2,2,2
0.02534574,2,42,1,10, , ,6,1, ,1,3, ,1,20,1,2,2,2
0.019009305,1,15,1,1,10, ,1,3,6,1,3, ,1,15,1,2,2,2
0.01267287,1,63,1,10, , ,6,1, ,1, , ,2,10,1,2,2,2
0.02534574,2,63,1,10, , ,6,1, ,1, , ,1,20,1,2,2,2
0.07603722,1,32,1,10,1, ,6,1,3,1,4,3,2,60,1,2,1,2
0.03801861,1,62,1,10,1, ,6,1, ,1,3, ,1,30,1,2,2,2
0.03801861,2,61,1,10,1, ,6,1,3,1,3, ,1,30,1,2,2,2
0.07603722,1,34,1,8,1,10,2,1,5,1,3,4,2,60,3,1,1,1
0.07603722,2,38,1,10,1, ,1,6,7,1,5, ,4,60,3,1,2,2
0.11405583,1,39,1,10,1, ,1,5,6,1,2, ,2,90,3,1,2,1
0.03801861,2,51,1,10, , ,6,1, ,1, , ,4,30,1,2,2,2
0.07603722,1,61,1,10, , ,6,1,7,1, , ,2,60,1,2,2,2
0.07603722,2,58,1,10, , ,6,7, ,1, , ,3,60,1,2,2,2
0.07603722,2,30,1,10,2, ,6,5,1,1, , ,3,60,3,1,1,2
0.03801861,2,37,1,10,8, ,1,6,7,1, , ,5,30,3,1,1,2
0.06336435,1,64,1,10, , ,6,7, ,1, , ,2,50,1,2,2,2
0.11405583,2,60,1,10, , ,6,7, ,1, , ,2,90,1,2,2,2
0.07603722,1,35,1,10,8, ,5,6,4,1,4,5,3,60,3,1,1,2
0.07603722,2,40,1,10,1, ,1,5,4,1,5,4,4,60,3,1,2,2
0.03801861,1,54,1,2,10, ,1,5,6,1, , ,3,30,3,1,2,2
0.07603722,2,54,1,10,2, ,6,1,7,1, , ,5,60,1,2,2,2
0.07603722,1,26,1,8,10, ,6,1,4,1,5,4,2,60,3,1,1,2
0.07603722,1,55,1,8,10, ,1,5,4,1,5, ,4,60,3,1,2,2
0.07603722,2,52,1,8,10, ,1,6,7,1,5, ,5,60,1,2,2,2
0.11405583,1,46,1,10, , ,6,1, ,1, , ,3,90,1,2,2,2
0.07603722,2,45,1,10, , ,6,7,1,1, , ,4,60,1,2,2,2
0.11405583,1,54,1,1,8,10,6,5,7,1,5, ,2,90,3,1,1,2
0.07603722,2,45,1,8,10, ,1,5,6,1,5, ,4,60,3,1,1,2
0.05069148,1,19,1,8,10, ,6,1,5,1, , ,1,40,3,1,1,2
0.07603722,1,45,1,8,10, ,6,1,4,1,5, ,2,60,3,1,2,2
0.07603722,2,40,1,8,10, ,6,5,1,1,5, ,3,60,3,1,2,2
0.15207444,1,11,1,10,8, ,6,4,7,5,1, ,2,30,1,2,2,2
0.03801861,2,51,1,10,8, ,1,5, ,1,5, ,2,30,3,1,2,2
0.07603722,1,25,1,8,10, ,5,1,6,1,5, ,2,60,3,1,1,2
0.07603722,1,22,1,10,8, ,6,5,1,1,4,5,1,60,3,1,1,2
0.07603722,1,47,1,10, , ,6,5,1,1,5, ,3,60,1,2,2,1
0.03801861,2,45,1,10, , ,6,1, ,1, , ,3,30,1,2,2,1
0.07603722,1,45,1,10, , ,6,5,1,1,2, ,3,60,1,2,1,2
0.07603722,2,40,1,10, , ,1,7,6,1,2, ,4,60,1,2,1,2
0.20276592,1,10,1,10, , ,6,7,4,4,1, ,3,60,1,2,2,2
0.07603722,1,54,1,10, , ,6,1,7,1, , ,4,60,1,2,2,2
0.07603722,2,52,1,10, , ,6,1,7,1, , ,3,60,1,2,2,2
0.11405583,1,51,1,10, , ,1,6,7,1,5, ,4,90,1,2,2,2
0.02534574,2,47,1,10, , ,6,7, ,1, , ,6,20,1,2,1,2
0.07603722,1,45,1,8,10,12,1,4,5,1,5, ,2,60,3,1,1,2
0.07603722,2,44,1,8,10,12,5,6,7,1,5, ,3,60,3,1,2,2
0.03801861,1,57,1,1,8, ,1,2,4,1, , ,1,30,1,1,2,2
0.02534574,2,55,1,10, , ,6,7, ,1, , ,1,20,1,2,2,2
0.03801861,2,28,1,4,10, ,6,7, ,1, , ,1,30,1,2,2,2
0.03801861,1,25,1,10, , ,6,7, ,1, , ,1,30,1,2,2,2
0.07603722,1,54,1,3,10,6,3,4,1,1, , ,5,60,1,2,2,2
0.03801861,2,48,1,9,5,10,1,4,7,1,4,2,3,30,1,2,2,2
0.15207444,2,19,1,10,8,6,1,5,7,1,4,2,1,120,1,2,1,1
0.03801861,1,53,1,10,8, ,3,4,1,1, , ,2,30,1,2,1,2
0.03801861,2,50,1,10, , ,6, , ,1, , ,1,30,1,2,1,2
0.02534574,2,23,1,10, , ,6,4, ,1, , ,5,20,1,2,1,2
0.02534574,1,52,1,10, , ,1,6,7,1, , ,1,20,1,2,2,2
0.01267287,2,51,1,10, , ,1,6,7,1, , ,1,10,1,2,2,2
0.15207444,2,24,1,10,12,8,6,1,4,1,4, ,2,120,1,2,2,2
0.30414888,2,23,1,8,10,6,5,6,4,1,3,4,3,240,3,1,2,2
0.03801861,1,21,1,10,8,9,3,4,7,1,3,4,1,30,1,1,2,2
0.03801861,2,18,1,10, , ,6,1, ,1, , ,3,30,1,2,1,2
0.07603722,2,15,1,10, , ,1,6, ,1, , ,3,60,1,2,2,2
0.07603722,1,57,1,10, , ,1,6,7,1,4,5,1,60,1,2,1,2
0.03801861,2,53,1,10,6,8,6,1,4,1,5,4,1,30,1,2,1,2
0.03801861,2,25,1,10,12,8,6,5,4,1,4,2,1,30,3,1,2,1
0.01267287,1,51,1,10, , ,5, , ,1, , ,5,10,1,2,1,2
0.03801861,1,55,1,10, , ,1,3,6,1, , ,4,30,1,2,2,2
0.07603722,1,25,1,8,10,12,1,3,6,1, , ,2,60,1,2,2,2
0.07603722,1,20,1,10,8, ,3,1,6,1, , ,1,60,1,2,2,2
0.15207444,1,22,1,8,10, ,6,3,1,1, , ,3,120,1,2,2,2
0.07603722,1,40,1,10,8, ,3,1,4,1, , ,4,60,1,2,1,2
0.03801861,1,39,1,10, , ,1,3,6,1, , ,1,30,1,2,2,2
0.07603722,2,58,1,10, , ,1,3,6,1, , ,4,60,1,2,2,2
0.11405583,1,50,1,8,10, ,5,6,1,1,2,5,3,90,3,1,1,1
0.07603722,1,56,1,10, , ,1,6,3,1, , ,2,60,1,2,2,2
0.07603722,2,54,1,10, , ,1,3,6,1, , ,3,60,1,2,2,2
0.22811166,1,20,1,8,10, ,1,6,5,1, , ,1,180,1,2,2,2
0.03801861,1,60,1,10, , ,1,3, ,1, , ,4,30,1,2,2,2
0.03801861,2,30,1,10, , ,3,6,1,1, , ,3,30,1,2,1,2
0.03801861,2,26,1,10, , ,3,4,6,1, , ,4,30,1,2,1,2
0.15207444,2,65,1,10, , ,1,6, ,1, , ,1,120,1,2,2,2
0.03801861,1,41,1,10, , ,1,3,6,1, , ,2,30,1,2,1,2
0.07603722,1,52,1,10, , ,1,3,6,1, , ,2,60,1,2,2,1
0.07603722,2,48,1,10, , ,1,6,3,1, , ,2,60,1,2,2,1
0.07603722,2,24,1,8,10, ,1,6,7,1, , ,3,60,1,2,1,2
0.07603722,2,20,1,10, , ,6,1,7,1, , ,2,60,1,2,2,1
0.07603722,1,60,1,10, , ,1,3,6,1, , ,3,60,1,2,2,2
0.07603722,2,53,1,10, , ,1,3,6,1, , ,4,60,1,2,2,2
0.07603722,2,28,1,8,10,12,1,6,7,1, , ,1,60,1,2,1,2
0.07603722,2,26,1,10, , ,1,7,6,1, , ,2,60,1,2,1,2
0.07603722,2,19,1,10, , ,1,4,7,1, , ,2,60,1,2,1,2
0.03801861,1,45,1,10, , ,1,6,3,1, , ,2,30,1,2,2,1
0.03801861,2,41,1,10, , ,1,3,6,1, , ,4,30,1,2,2,1
0.07603722,2,27,1,10, , ,1,3,4,1, , ,4,60,1,2,1,1
0.03801861,1,48,1,10, , ,1,6,7,1, , ,3,30,1,2,1,2
0.01267287,1,42,1,10, , ,6,4,1,1, , ,1,10,1,2,2,2
0.02534574,2,42,1,8,10, ,1,4, ,1,2, ,1,20,1,2,2,1
0.07603722,2,12,1,10, , ,6, , ,1,3, ,1,60,1,2,2,1
0.03801861,1,43,1,10, , ,6,7,3,1,4,3,1,30,1,2,1,1
0.07603722,1,45,1,10,4,6,8,6,4,1,3,5,3,60,1,2,1,1
0.03801861,2,17,1,10, , ,6,7, ,1,4, ,1,30,1,2,1,2
0.15207444,2,15,1,10, , ,6,1,7,1,3, ,2,120,1,2,2,2
0.07603722,1,67,1,10, , ,3,4,1,1, , ,4,60,1,2, ,2
0.02534574,2,66,1,10, , ,3,1,4,1,5, ,5,20,1,2,2,2
0.08871009,2,55,1,10, , ,6,7, ,1, , ,2,70,1,2,2,2
0.07603722,1,31,1,10, , ,6,7, ,1, , ,5,60,1,2,1,2
0.07603722,1,61,1,10, , ,1,7, ,1,3,4,1,60,1,2,1,2
0.15207444,2,54,1,10, , ,6,2, ,1,3,4,1,120,1,2,1,2
0.10138296,1,27,1,10, , ,6, , ,3,5, ,1,30,1,2,2,2
0.15207444,1,23,1,10,8, ,5,4,6,1,4, ,1,120,3,1,2,2
0.3801861,1,44,1,10, , ,6,5,7,1, , ,1,300,1,2,2,1
0.15207444,2,44,1,10, , ,7,6, ,1, , ,1,120,1,2,1,1
0.07603722,1,17,1,10, , ,6,7, ,1,3, ,1,60,1,2,2,1
0.07603722,2,14,1,10, , ,6,7, ,1,4, ,1,60,1,2,2,1
0.11405583,1,45,1,10,2, ,4,3,7,1,3, ,6,90,1,2,2,2
0.07603722,2,45,1,2, , ,1,4, ,1,4, ,5,60,1,2,2,2
0.03801861,2,18,1,2,10, ,1,7, ,1,4, ,5,30,1,2,2,1
