분류,2010,2011,2012,2013,2014,2015,2016,2017,2018
1인당 전력소비량,"8,883","9,142","9,331","9,285","9,305","9,555","9,699","9,869","10,195"
GDP 대비 전력소비량,0.328,0.328,0.324,0.316,0.306,0.292,0.286,0.277,0.277
