연도,지자체,상수도 사용량
2017,경남 창원시 의창구,4158248
2017,경남 창원시 진해구,2747420
2019,경남 창원시 진해구,3029646
2018,경남 창원시 진해구,2823843
2018,경남 통영시,446274
2017,경남 통영시,435016
2019,경남 통영시,443410
2017,경남 하동군,19789
2019,경남 하동군,21386
2018,경남 하동군,23633
2017,경남 함안군,152247
2019,경남 함안군,160072
2018,경남 함안군,159270
2019,경남 함양군,21436
2017,경남 함양군,15763
2018,경남 함양군,21387
2017,경남 합천군,4745
2019,경남 합천군,10051
2018,경남 합천군,5818
2019,경북 경산시,528536
2017,경북 경산시,455189
2018,경북 경산시,498321
2018,경북 경주시,174462
2017,경북 경주시,143299
2019,경북 경주시,188426
2018,경북 고령군,111827
2017,경북 고령군,478737
2019,경북 고령군,152455
2019,경북 구미시,4983848.15
2018,경북 구미시,4880760
2017,경북 구미시,4848694
2018,경북 군위군,12123
2017,경북 군위군,10296
2019,경북 군위군,10297
2019,경북 김천시,355103
2018,경북 김천시,338198
2017,경북 김천시,330256
2018,경북 문경시,117687
2017,경북 문경시,113203
2019,경북 문경시,131425
2017,경북 봉화군,75049
2019,경북 상주시,162406
2018,경북 상주시,149816
2017,경북 상주시,103442
2019,경북 성주군,37909
2017,경북 성주군,30785
2018,경북 성주군,32357
2019,경북 안동시,500823
2018,경북 안동시,489836
2017,경북 안동시,1468345
2019,경북 영덕군,2139
2018,경북 영덕군,1011
2017,경북 영덕군,224
2019,경북 영양군,164636
2018,경북 영양군,129355
2017,경북 영양군,159151
2019,경북 영주시,299977
2017,경북 영주시,256835
2018,경북 영주시,289721
2019,경북 영천시,311729
2017,경북 영천시,1721180
2018,경북 영천시,316245
2019,경북 예천군,14974
2018,경북 예천군,10864
2017,경북 예천군,5849
2019,경북 울진군,3509
2018,경북 울진군,33011
2017,경북 울진군,22137
2019,경북 의성군,15829
2018,경북 의성군,15234
2017,경북 의성군,11218
2019,경북 청도군,2724
2018,경북 청도군,1438
2017,경북 청도군,804
2019,경북 청송군,4374
2018,경북 청송군,4634
2017,경북 청송군,3405
2019,경북 칠곡군,379735
2017,경북 칠곡군,375696
2018,경북 칠곡군,388697
2019,경북 포항시,3295021.581
2017,경북 포항시,2952568.56
2018,경북 포항시,3148583.4
2018,광주 광산구,13302374.55
2017,광주 광산구,14090477.33
2019,광주 광산구,13132877.9
2019,광주 남구,8272477
2018,광주 남구,7880798.5
2017,광주 남구,9181703.676
2019,광주 동구,2549197
2017,광주 동구,3332180.81
2018,광주 동구,2746028
2019,광주 북구,16738056.49
2018,광주 북구,17535095.49
2017,광주 북구,18458655.35
2019,광주 서구,12219272
2018,광주 서구,12523200.15
2017,광주 서구,13805057
2017,대구 남구,2521000
2019,대구 남구,1488389
2018,대구 남구,1376057
2018,대구 달서구,6763441
2017,대구 달서구,6095646
2019,대구 달서구,6776175
2018,대구 달성군,1865845
2017,대구 달성군,1780658
2019,대구 달성군,2307839
2017,대구 동구,5420799
2019,대구 동구,4157380.4
2018,대구 동구,3428855.1
2019,대구 북구,4427890
2018,대구 북구,3459972
2017,대구 북구,4431201
2019,대구 서구,1238712
2018,대구 서구,1332700
2017,대구 서구,1132626
2017,대구 수성구,5919352
2019,대구 수성구,6097785
2018,대구 수성구,5830843
2017,대구 중구,1711923
2019,대구 중구,2226604
